0	334
0	1818
0	2091
0	2145
0	3070
0	4320
0	4809
0	4919
0	5878
0	6294
0	6328
0	8125
0	8522
0	9044
0	9540
334	0
334	675
334	1869
334	3242
334	3923
334	4593
334	7186
334	8184
334	8188
334	8192
334	8329
334	9968
1818	0
1818	137
1818	660
1818	2027
1818	3261
1818	4223
1818	5219
1818	6516
1818	7653
1818	8254
1818	8852
1818	9000
1818	9860
2091	0
2091	603
2091	836
2091	1502
2091	2110
2091	2236
2091	3034
2091	6563
2091	6740
2091	6974
2091	7651
2091	8215
2091	9974
2091	9994
2145	0
2145	753
2145	880
2145	2778
2145	3441
2145	4731
2145	4773
2145	4992
2145	5782
2145	8360
2145	8617
2145	9495
3070	0
3070	16
3070	1121
3070	1582
3070	1850
3070	2106
3070	2556
3070	2788
3070	4608
3070	4636
3070	4960
3070	4996
3070	5099
3070	5339
3070	7787
3070	9073
4320	0
4320	1108
4320	1360
4320	2112
4320	2588
4320	3115
4320	3158
4320	4003
4320	6863
4320	7749
4320	9154
4809	0
4809	2290
4809	2334
4809	2451
4809	2843
4809	3974
4809	4518
4809	4955
4809	5970
4809	6247
4809	6266
4809	6357
4809	7028
4809	8278
4809	9662
4919	0
4919	213
4919	233
4919	419
4919	999
4919	1219
4919	2782
4919	4493
4919	6336
4919	7196
4919	7417
5878	0
5878	989
5878	2420
5878	2681
5878	3228
5878	3430
5878	4533
5878	5341
5878	6302
5878	7086
5878	8377
5878	9597
6294	0
6294	255
6294	279
6294	1695
6294	2623
6294	3035
6294	4142
6294	5648
6294	5732
6294	6932
6294	7206
6294	7527
6294	7815
6294	8087
6294	8725
6294	8962
6328	0
6328	1594
6328	2434
6328	3575
6328	6423
6328	7530
6328	8879
6328	8916
8125	0
8125	439
8125	1043
8125	1442
8125	1473
8125	2389
8125	2575
8125	3162
8125	3271
8125	3841
8125	5406
8125	7010
8125	7742
8125	8889
8125	9772
8125	9779
8522	0
8522	933
8522	3308
8522	4252
8522	4429
8522	4519
8522	6137
8522	6179
8522	8515
9044	0
9044	607
9044	763
9044	1090
9044	1215
9044	1229
9044	1278
9044	1834
9044	1868
9044	2202
9044	2230
9044	2338
9044	2864
9044	3344
9044	3440
9044	3468
9044	4349
9044	4509
9044	5493
9044	6871
9044	8369
9044	8529
9540	0
9540	144
9540	243
9540	842
9540	1782
9540	3789
9540	3980
9540	5266
9540	6019
9540	6262
9540	7245
9540	7364
9540	7371
9540	8100
9540	9293
9540	9734
1	130
1	156
1	405
1	2445
1	2572
1	2676
1	3295
1	5258
1	5544
1	5710
1	6323
1	6809
1	7725
1	7868
1	8746
130	1
130	538
130	709
130	921
130	1268
130	1571
130	2632
130	3672
130	4189
130	5606
130	6719
130	6735
130	6820
130	7907
130	8355
130	9631
130	9807
156	1
156	530
156	610
156	1179
156	2364
156	2449
156	2754
156	6029
156	6444
156	7320
